TelephoneNumber,Email,NotificationChannel,Coloum1,Coloum2,Coloum3,Coloum4,Coloum5,Coloum6,Coloum7,Coloum8,Coloum9,Coloum10
392-1557            ,0garth_davis1@jmmb.com                  ,Text,03/06/1946 00:00,CUNNINGHAM,ROSSITA,O,Mr,,,,,
392-1558            ,2garth_davis2@jmmb.com                  ,Text,03/06/1977 00:00,CLARKE,NOEMI,O,Mr,,,,,
392-1559            ,3garth_davis2@jmmb.com                  ,Both,03/06/1983 00:00,PEART,MELISSA,E,Ms,,,,,
392-1560            ,4garth_davis2@jmmb.com                  ,Text,03/06/1973 00:00,SIMMS,MARLON,A,Ms,,,,,
392-1561            ,5garth_davis2@jmmb.com                  ,Text,03/06/1947 00:00,JOHNSON,CATHERINE,A,Ms,,,,,
392-1562            ,6garth_davis2@jmmb.com                  ,Text,03/06/1965 00:00,BORELAND,DONNA,O,Mr,,,,,
392-1563            ,0garth_davis2@jmmb.com                  ,Email,03/06/1916 00:00,JOHNSON,ENID,N,Ms,,,,,
392-1564            ,0garth_davis2@jmmb.com                  ,Text,03/06/1925 00:00,ISAACS,LESSA,E,Mr,,,,,
392-1565            ,0garth_davis2@jmmb.com                  ,Text,03/06/1973 00:00,SPENCE-REID,DONNET,O,Ms,,,,,
392-1566            ,0garth_davis2@jmmb.com                  ,Text,03/06/1923 00:00,SMITH,ESMIE,S,Mr,,,,,
392-1567            ,0garth_davis2@jmmb.com                  ,Text,03/06/1964 00:00,EVANS,JENNIFER,E,Mr,,,,,
392-1568            ,0garth_davis2@jmmb.com                  ,Both,03/06/1942 00:00,MARSH,BERYL,E,Ms,,,,,
392-1569            ,0garth_davis2@jmmb.com                  ,Email,03/06/1913 00:00,MARSH,SYLVIA,Y,Mr,,,,,
392-1570            ,0garth_davis2@jmmb.com                  ,Email,03/06/1925 00:00,ISAACS,LESSA,E,Ms,,,,,
392-1571            ,0garth_davis2@jmmb.com                  ,Text,03/06/1927 00:00,WALFORD,SYLVIA,Y,Mr,,,,,
392-1572            ,0garth_davis2@jmmb.com                  ,Text,03/06/1973 00:00,SPENCE-REID,DONNET,O,Mr,,,,,
392-1573            ,0garth_davis2@jmmb.com                  ,Email,03/06/1977 00:00,ROBERTS,DEBBIE,E,Ms,,,,,
392-1574            ,0garth_davis2@jmmb.com                  ,Text,03/06/1968 00:00,WRIGHT,ANDREA,N,Mr,,,,,
392-1575            ,0garth_davis2@jmmb.com                  ,Text,03/06/2006 00:00,TOMLINSON,OSMOND,S,Ms,,,,,
392-1576            ,0garth_davis2@jmmb.com                  ,Both,03/06/1916 00:00,JOHNSON,ENID,N,Mr,,,,,
392-1577            ,0garth_davis2@jmmb.com                  ,Text,03/06/1981 00:00,BROWN,KAMEKAH,A,Mr,,,,,
392-1578            ,0garth_davis2@jmmb.com                  ,Text,03/06/1980 00:00,BROWN,TANESHA,A,Mr,,,,,
392-1579            ,0garth_davis2@jmmb.com                  ,Text,03/06/1938 00:00,GARRICK,NOEL,O,Mr,,,,,
392-1580            ,0garth_davis2@jmmb.com                  ,Both,03/06/1961 00:00,THOMAS,YVONNE,V,Ms,,,,,
392-1581            ,0garth_davis2@jmmb.com                  ,Both,03/06/1973 00:00,SIMMS,MARLON,A,Mr,,,,,
392-1582            ,0garth_davis2@jmmb.com                  ,Email,03/06/1952 00:00,JONES,IMOGENE,M,Ms,,,,,
